Rank,Release,Gross,Theaters,Total_Gross,Release Date,Distributor
184,Simmba,"$2,991,179 ",301,"$5,102,129 ",28-Dec,Reliance Big Pictures
185,Bharat,"$2,971,549 ",311,"$2,971,549 ",5-Jun,-
186,Honey Boy,"$2,939,993 ",460,"$3,012,615 ",8-Nov,Amazon Studios
187,Friends 25th: The One With The Anniversary,"$2,884,827 ","1,586","$2,884,827 ",23-Sep,Fathom Events
188,Saaho,"$2,872,057 ",381,"$2,872,057 ",29-Aug,Yash Raj Films
189,Fantastic Beasts: The Crimes of Grindelwald,"$2,774,042 ","4,163","$159,555,901 ",16-Nov,Warner Bros.
190,Kalank,"$2,729,336 ",320,"$2,729,336 ",17-Apr,FIP
191,Tod@s Caen,"$2,670,925 ",371,"$2,670,925 ",30-Aug,Pantelion Films
192,Everybody Knows,"$2,660,165 ",283,"$2,660,165 ",8-Feb,Focus Features
193,Instant Family,"$2,518,231 ","3,426","$67,363,237 ",16-Nov,Paramount Pictures
194,The Art of Self-Defense,"$2,410,914 ",550,"$2,410,914 ",12-Jul,Bleecker Street Media
195,Arctic,"$2,410,795 ",268,"$2,410,795 ",1-Feb,Bleecker Street Media
,2019 Re-release,,,,,
196,Welcome to Marwen,"$2,405,625 ","1,911","$10,763,520 ",21-Dec,Universal Pictures
197,"My People, My Country","$2,356,683 ",83,"$2,356,683 ",1-Oct,CMC Pictures
198,Promare,"$2,287,950 ",701,"$2,313,596 ",17-Sep,GKIDS
199,Super 30,"$2,269,878 ",317,"$2,269,878 ",12-Jul,Reliance Big Pictures
200,Faustina: Love and Mercy,"$2,243,180 ",810,"$2,243,180 ",28-Oct,Fathom Events
201,Gone with the Wind,"$2,176,120 ",717,"$2,176,120 ",28-Feb,Fathom Events
,2019 Re-release,,,,,
202,3 from Hell,"$2,172,949 ",667,"$2,172,949 ",16-Sep,Saban Films
203,Total Dhamaal,"$2,167,632 ",209,"$2,167,632 ",22-Feb,FIP
204,Housefull 4,"$2,109,160 ",315,"$2,109,160 ",25-Oct,FIP
205,Shoplifters,"$2,092,669 ",144,"$3,313,513 ",23-Nov,Magnolia Pictures
206,The Wizard of Oz,"$2,076,020 ",681,"$2,076,020 ",27-Jan,Fathom Events
,2019 Re-release,,,,,
207,Luce,"$2,010,613 ",235,"$2,010,613 ",2-Aug,Neon
208,Chhichhore,"$2,004,400 ",195,"$2,004,400 ",6-Sep,FIP
209,Official Secrets,"$1,988,618 ",485,"$1,988,546 ",30-Aug,IFC Films
210,Better Days,"$1,921,657 ",88,"$1,921,657 ",8-Nov,Well Go USA Entertainment
211,Badla,"$1,861,000 ",115,"$1,861,000 ",8-Mar,Reliance Big Pictures
212,The White Crow,"$1,828,784 ",365,"$1,828,784 ",26-Apr,Sony Pictures Classics
213,Ben Is Back,"$1,827,480 ",598,"$3,703,184 ",7-Dec,Roadside Attractions
214,Pandas,"$1,816,106 ",35,"$7,574,012 ",6-Apr,Warner Bros.
215,The Other Side of Heaven 2: Fire of Faith,"$1,807,216 ",205,"$1,807,216 ",28-Jun,ArtAffects Entertainment
216,Ip Man 4: The Finale,"$1,775,960 ",125,"$3,956,031 ",25-Dec,Well Go USA Entertainment
217,Wild Rose,"$1,635,117 ",195,"$1,635,117 ",21-Jun,Neon
218,The Aftermath,"$1,618,497 ",344,"$1,618,497 ",15-Mar,Fox Searchlight Pictures
219,Made for More,"$1,589,250 ",703,"$2,999,134 ",2-Aug,Fathom Events
220,Red Joan,"$1,579,730 ",195,"$1,579,730 ",19-Apr,IFC Films
221,After the Wedding,"$1,574,258 ",428,"$1,574,258 ",9-Aug,Sony Pictures Classics
222,Extreme Job,"$1,565,885 ",26,"$1,565,885 ",25-Jan,CJ Entertainment
223,Waves,"$1,562,941 ",570,"$1,658,790 ",15-Nov,A24
224,Qué León,"$1,556,856 ",86,"$2,607,916 ",29-Nov,Spanglish Movies
225,Capernaum,"$1,545,118 ",136,"$1,661,096 ",14-Dec,Sony Pictures Classics
226,The Kid,"$1,508,593 ",268,"$1,508,593 ",8-Mar,Lionsgate
227,Kinky Boots: The Musical,"$1,414,290 ",492,"$900,451 ",25-Jun,Fathom Events
228,Destroyer,"$1,411,224 ",235,"$1,533,324 ",25-Dec,Annapurna Pictures
229,The Wife,"$1,402,934 ",541,"$9,601,092 ",17-Aug,Sony Pictures Classics
230,El Chicano,"$1,400,603 ",605,"$1,400,603 ",3-May,-
231,Fantastic Fungi,"$1,358,874 ",37,"$1,788,322 ",20-Sep,Area 23a
232,1917,"$1,326,178 ","3,987","$158,399,814 ",25-Dec,Universal Pictures
233,Spirited Away,"$1,322,927 ",768,"$1,322,927 ",27-Oct,Fathom Events
,2019 Re-release,,,,,
234,Never Look Away,"$1,299,506 ",122,"$1,304,042 ",30-Nov,Sony Pictures Classics
235,Pilgrim's Progress,"$1,294,596 ",758,"$1,294,596 ",18-Apr,Fathom Events
236,Can You Ever Forgive Me?,"$1,273,561 ",555,"$8,803,865 ",19-Oct,Fox Searchlight Pictures
237,Asterix: The Secret of the Magic Potion,"$1,271,953 ",76,"$1,271,953 ",15-Feb,Entertainment One
238,Metallica & San Francisco Symphony - S&M2,"$1,252,385 ",655,"$1,252,385 ",9-Oct,Trafalgar Releasing
239,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552 ",490,"$1,226,552 ",27-Oct,Fathom Events
240,High Life,"$1,225,852 ",146,"$1,225,852 ",5-Apr,A24
241,All Is True,"$1,200,481 ",328,"$1,200,481 ",10-May,Sony Pictures Classics
242,Kingdom Men Rising,"$1,188,936 ",705,"$1,188,936 ",29-Apr,Fathom Events
243,Los Domirriqueños 2,"$1,187,280 ",82,"$1,187,280 ",14-Mar,Spanglish Movies
244,Ek Ladki Ko Dekha Toh Aisa Laga,"$1,182,636 ",193,"$1,182,636 ",1-Feb,FIP
245,No Safe Spaces,"$1,159,359 ",200,"$1,291,514 ",25-Oct,Atlas Distribution Company
246,Nothing to Lose 2,"$1,150,551 ",105,"$1,150,551 ",27-Sep,-
247,Western Stars,"$1,141,681 ",553,"$1,581,681 ",25-Oct,Warner Bros.
248,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$1,134,786 ",692,"$1,134,786 ",12-Nov,Fathom Events
249,My Neighbor Totoro,"$1,105,564 ",767,"$1,105,564 ",25-Aug,Fathom Events
,2019 Re-release,,,,,
250,Playmobil: The Movie,"$1,104,483 ","2,337","$1,115,008 ",6-Dec,STX Entertainment
251,Mortal Engines,"$1,056,865 ","3,103","$15,951,040 ",14-Dec,Universal Pictures
252,Bennett's War,"$1,056,416 ",970,"$1,056,416 ",30-Aug,-
253,Princess Mononoke,"$1,046,446 ",752,"$1,046,446 ",17-Nov,Fathom Events
,2019 Re-release,,,,,
254,Luka Chuppi,"$1,042,905 ",139,"$1,042,905 ",1-Mar,-
255,The Souvenir,"$1,036,737 ",145,"$1,036,737 ",17-May,A24
256,Noah: The Musical,"$1,035,603 ",669,"$1,035,603 ",9-Apr,Fathom Events
257,El Coyote,"$1,026,707 ",297,"$1,101,470 ",4-Oct,-
258,Perfect Strangers,"$1,014,507 ",132,"$1,014,507 ",11-Jan,Pantelion Films
259,Marianne & Leonard: Words of Love,"$1,012,034 ",101,"$1,012,034 ",5-Jul,Roadside Attractions
260,Kiki's Delivery Service,"$1,004,057 ",753,"$1,004,057 ",28-Jul,Fathom Events
,2019 Re-release,,,,,
261,BlacKkKlansman,"$1,003,380 ","1,914","$49,275,340 ",10-Aug,Focus Features
262,Jesus Is King,"$973,000 ",372,"$973,000 ",25-Oct,IMAX
263,Rush: Cinema Strangiato 2019,"$960,073 ",494,"$960,073 ",21-Aug,Trafalgar Releasing
264,The Fighting Preacher,"$954,744 ",37,"$954,641 ",24-Jul,Purdie Distribution
265,Toni Morrison: The Pieces I Am,"$903,018 ",78,"$903,018 ",21-Jun,Magnolia Pictures
266,A Hidden Life,"$877,550 ",151,"$1,730,597 ",13-Dec,Fox Searchlight Pictures
267,Between Me and My Mind,"$875,191 ",488,"$875,191 ",17-Jul,Trafalgar Releasing
268,Howl's Moving Castle,"$865,647 ",748,"$865,647 ",7-Apr,Fathom Events
,2019 Re-release,,,,,
269,Pati Patni Aur Woh,"$864,859 ",130,"$874,044 ",6-Dec,Eros International
270,Steel Magnolias,"$855,421 ",689,"$855,421 ",19-May,Fathom Events
,2019 Re-release,,,,,
271,Woman at War,"$847,495 ",66,"$847,495 ",1-Mar,Magnolia Pictures
272,Alien,"$833,658 ",682,"$833,658 ",13-Oct,Fathom Events
,2019 Re-release,,,,,
273,Climax,"$817,339 ",217,"$817,339 ",1-Mar,A24
274,Transit,"$815,290 ",72,"$815,290 ",1-Mar,Music Box Films
275,One Piece: Stampede,"$789,506 ",541,"$1,298,528 ",24-Oct,FUNimation Entertainment
276,Chonda Pierce: Unashamed,"$787,979 ",783,"$787,979 ",7-May,Fathom Events
277,Student of the Year 2,"$778,566 ",190,"$778,566 ",10-May,FIP
278,The Church,"$772,000 ",252,"$772,000 ",24-May,Indican Pictures
279,Patterns of Evidence: Moses Controversy,"$765,361 ",896,"$765,361 ",14-Mar,Fathom Events
280,I Love Lucy: A Colorized Celebration,"$754,323 ",634,"$754,323 ",6-Aug,Fathom Events
281,Joni 75: A Birthday Celebration,"$752,205 ",405,"$752,205 ",7-Feb,Trafalgar Releasing
282,The Game Changers,"$739,711 ",610,"$739,711 ",16-Sep,Fathom Events
283,David Crosby: Remember My Name,"$732,686 ",67,"$732,793 ",19-Jul,Sony Pictures Classics
284,More Than Blue,"$722,669 ",40,"$722,669 ",15-Mar,China Lion Film Distribution
285,Honeyland,"$711,628 ",56,"$815,082 ",26-Jul,Neon
286,Where's My Roy Cohn?,"$705,374 ",66,"$705,274 ",20-Sep,Sony Pictures Classics
287,Non-Fiction,"$704,919 ",89,"$704,919 ",3-May,IFC Films
